"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Aruba","ABW","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36016.4837574639","","",
"Andorra","AND","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1052.95826144977","1096.75557084561","1066.68509200014","1145.71745819417","1173.00138404869","1297.82076114979","1310.71698023032","1547.53911919511","1637.29714021017","1695.15343604723","1893.07568119314","1926.26094610328",
"Angola","AGO","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4231.6366801109","4055.70558948341","3655.74031992507","2663.3550591802","2669.42171070263","2859.02680673262","3090.64335536171","3246.30901983039","3375.85691289651","3388.98893289582","3387.19672569039","3417.19783128786","3758.54013721612","3818.66340723911","4086.85907826019","4667.34947452207","5444.88990857183","6452.56237265902","7102.86994945139","7038.9599284063","7047.05375659217","7094.08401189458","7232.78002062288","7298.16357349492",
"Albania","ALB","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4430.65082759978","3138.52809904799","2930.27048017082","3231.23229279301","3520.97293131847","4013.98041420498","4406.55494179548","3981.91270149812","4515.94677842691","5003.64797587922","5403.24270124553","5828.482053398","6022.43813676023","6403.00082030024","6823.69505273419","7251.57048823649","7677.50388127367","8205.53107662432","8923.28923277946","9308.05930395127","9727.02076600094","10115.629605259","10348.2831504711","10588.8720216642",
"Andean Region","ANR","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10035.0137348419","10235.5061121876","10466.5307292054","10476.6898235698","10548.3294033588","10537.3723714277","10780.2148798524","10961.4091475331","11130.9906419768","11142.4138263432","11467.0857109061","11506.4992046387","11435.6993423298","11603.5096337026","12421.3048202598","12870.7046025566","13450.8132784709","13876.6833054631","14395.6538149593","14372.6689896791","14794.0553088992","14858.4636784396","15361.7446212815","15481.6802769282",
"United Arab Emirates","ARE","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115747.581529707","110532.476766445","108272.746258051","104047.355849135","105690.980569686","107273.808525362","107774.97524916","110426.444594802","104936.724839174","102752.237643477","108909.017488979","106704.108637247","106186.251084212","110549.414544772","111543.92499061","103139.798557145","96399.7374535398","83655.0377182226","73611.3902734259","61725.279652436","57379.9717436551","56376.7699227134","57044.5776548759","",
"Argentina","ARG","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3735.54309164473","3329.2753043708","1972.69764843973","1841.7190676359","1988.21520731715","2169.43102780471","2332.68056362233","2437.62935640365","2636.32474547721","2740.16961486553","2918.557685671","3214.33701791647","3653.66130166758","4181.71967594963","4635.3032854684","5296.81412791144","6019.86012469265","6877.38236819561","7382.52463503484","6357.82912499506","6507.91440229423","6812.35195593287","7290.63907133297","7526.8364190855",
